iter	RMSE
0	0.7975949012
1	0.7502247656
2	0.7104935473
3	0.6742213668
4	0.6428473271
5	0.6156396303
6	0.5919679075
7	0.572792184
8	0.555801588
9	0.5404339179
10	0.526451502
11	0.5154691008
12	0.5060503755
13	0.4982081427
14	0.490765159
15	0.4848014969
16	0.4791478036
17	0.4742897511
18	0.4695693926
19	0.4648298091
20	0.4616559746
21	0.4585771826
22	0.4554939395
23	0.4530649135
24	0.4508007906
25	0.4483064207
26	0.4468436497
27	0.4445979549
28	0.4422416186
29	0.4404527713
30	0.4387253597
31	0.4368866734
32	0.4359443436
33	0.4347444938
34	0.4336085775
35	0.4325260537
36	0.431752793
37	0.4306818225
38	0.4300195924
39	0.429241678
40	0.4286007338
41	0.4277723672
42	0.4267078748
43	0.4259254424
44	0.4253289109
45	0.4245847806
46	0.4240084187
47	0.4229556961
48	0.4222763525
49	0.4212427434
50	0.4202428769
51	0.419804845
52	0.4193060658
53	0.4184205994
54	0.4178622796
55	0.4172822318
56	0.4165517376
57	0.4161712598
58	0.4155114076
59	0.4147351705
60	0.4144117021
61	0.4137764395
62	0.4134279793
63	0.4130425045
64	0.4127528638
65	0.4119976538
66	0.4114693661
67	0.4109497462
68	0.4103573833
69	0.4094696302
70	0.4085556563
71	0.4080045456
72	0.4075086348
73	0.4067565942
74	0.406098448
75	0.4057413671
76	0.4049368833
77	0.4044077636
78	0.4039450305
79	0.4034795135
80	0.4030430584
81	0.4025488255
82	0.4019323095
83	0.40141939
84	0.400832349
85	0.400336866
86	0.3998411968
87	0.3991297785
88	0.3986903527
89	0.3983973909
90	0.3979871023
91	0.3975901027
92	0.3969622241
93	0.3963550258
94	0.3959701928
95	0.3956451792
96	0.3952244654
97	0.3947867536
98	0.3943267159
99	0.3941943603
100	0.3937052561
101	0.3934344071
102	0.392848271
103	0.3920711403
104	0.3914903502
105	0.3911165196
106	0.3909010409
107	0.3903153182
108	0.3898477497
109	0.3893245599
110	0.3888988534
111	0.3885338484
112	0.3882045069
113	0.3877284143
114	0.3874366996
115	0.3869184981
116	0.3864426322
117	0.3860369244
118	0.3855675769
119	0.3849942823
120	0.3845937842
121	0.384140951
122	0.3836647069
123	0.383213323
124	0.3828126386
125	0.3822768418
126	0.3819286351
127	0.3815905378
128	0.3812044873
129	0.3808469393
130	0.3803557825
131	0.3799275592
132	0.3794341144
133	0.3788589987
134	0.3784704497
135	0.3779667313
136	0.3777068619
137	0.3773106043
138	0.3768300501
139	0.3763304168
140	0.3759234574
141	0.3755557765
142	0.3751713858
143	0.3747962661
144	0.3744473444
145	0.374194583
146	0.3738733421
147	0.3734874316
148	0.3730925974
149	0.3727777801
150	0.3725157492
151	0.3721351732
152	0.3719164839
153	0.371599113
154	0.3710732694
155	0.3706737672
156	0.3703886372
157	0.369982677
158	0.3696947481
159	0.3693099646
160	0.3689618159
161	0.3684036752
162	0.3680177505
163	0.3676431048
164	0.3672967571
165	0.367048165
166	0.3666870894
167	0.3664409621
168	0.3659901215
169	0.3656669214
170	0.3652890847
171	0.3649879837
172	0.3647477219
173	0.3642690936
174	0.3639147542
175	0.3636940131
176	0.3634427361
177	0.3631605695
178	0.3628897419
179	0.3625056358
180	0.3620392452
181	0.3616150102
182	0.3613576551
183	0.3611433526
184	0.3607940608
185	0.3605163775
186	0.3601964379
187	0.3599299197
188	0.3597273037
189	0.3595024848
190	0.3593049025
191	0.3589426954
192	0.3587266305
193	0.3584434218
194	0.3581126919
195	0.3577991332
196	0.3574457333
197	0.3570942255
198	0.3567117792
199	0.3560942631
